quartos,suites,vagas_garagem,area,preco_aluguel
1,0,0,20,500
1,0,0,24,550
1,0,0,45,1188
0,1,1,47,890
2,0,0,50,1033
2,0,1,52,1435
1,1,1,54,1356
1,1,1,55,1300
2,0,1,56,1200
1,1,0,56,1564
2,0,1,70,1700
1,1,1,71,1742
1,1,1,90,1961
1,1,2,92,2974
2,1,2,100,2050
2,1,2,100,3825
3,0,2,101,3006
1,1,2,104,2750
2,1,2,110,2500
2,1,1,112,2850
2,1,2,115,3465
1,1,1,116,3600
1,2,2,120,3360
1,1,2,122,4505
1,1,2,145,2030
2,1,1,155,5193
2,1,2,159,4380
2,1,1,165,4590
2,2,2,170,5022
3,1,2,175,4900
1,3,3,190,6000
2,2,2,194,6423
